DATE,03-01-1995,IPG2211A2N,,Age,Month,days,md,md,,NETWORK DAYS,,YEAR,MONTH,DAY,WEEKDAY,WEEKNUM,NUMBER OF YEARS,,,,,,,
06-01-1988,09-01-1998,67.1097,,,,,,,,,,,,,,,,,,,,,"""d""",The number of days in the  period.
07-01-1988,10-01-1998,72.9816,,,,,,,,,,,,,,,,,,,,,"""md""",The difference between the days in start date and end date. The month and years of the dates are ignored.
08-01-1988,11-01-1998,75.7655,,,,,,,,,,,,,,,,,,,,,"""ym""",The difference between the months in start date and end date.  The Days and years of the dates are ignored.
09-01-1988,12-01-1998,67.5152,,,,,,,,,,,,,,,,,,,,,"""yd""",The difference between the days of start date and end date. The years of the dates are ignored.
10-01-1988,01-01-1999,63.2832,,,,,,,,,,,,,,,,,,,,,,
11-01-1988,02-01-1999,65.1078,,,,,,,,,,,,,,,,,,,,,,
12-01-1988,03-01-1999,73.8631,,,,,,,,,,,,,,,,,,,,,,
01-01-1989,04-01-1999,77.9188,,,,,,,,,,,,,,,,,,,,,,
02-01-1989,05-01-1999,76.6822,,,,,,,,,,,,,,,,,,,,,,
03-01-1989,06-01-1999,73.3523,,,,,,,,,,,,,,,,,,,,,,
04-01-1989,07-01-1999,65.1081,,,,,,,,,,,,,,,,,,,,,,
05-01-1989,08-01-1999,63.6892,,,,,,,,,,,,,,,,,,,,,,
06-01-1989,09-01-1999,68.4722,,,,,,,,,,,,,,,,,,,,,,
07-01-1989,10-01-1999,74.0301,,,,,,,,,,,,,,,,,,,,,,
08-01-1989,11-01-1999,75.0448,,,,,,,,,,,,,,,,,,,,,,
09-01-1989,12-01-1999,69.3053,,,,,,,,,,,,,,,,,,,,,,
10-01-1989,01-01-2000,65.8735,,,,,,,,,,,,,,,,,,,,,,
11-01-1989,02-01-2000,69.0706,,,,,,,,,,,,,,,,,,,,,,
12-01-1989,03-01-2000,84.1949,,,,,,,,,,,,,,,,,,,,,,
01-01-1990,04-01-2000,84.3598,,,,,,,,,,,,,,,,,,,,,,
02-01-1990,05-01-2000,77.1726,,,,,,,,,,,,,,,,,,,,,,
03-01-1990,06-01-2000,73.1964,,,,,,,,,,,,,,,,,,,,,,
04-01-1990,07-01-2000,67.2781,,,,,,,,,,,,,,,,,,,,,,
05-01-1990,08-01-2000,65.8218,,,,,,,,,,,,,,,,,,,,,,
06-01-1990,09-01-2000,71.4654,,,,,,,,,,,,,,,,,,,,,,
07-01-1990,10-01-2000,76.614,,,,,,,,,,,,,,,,,,,,,,
08-01-1990,11-01-2000,77.1052,,,,,,,,,,,,,,,,,,,,,,
09-01-1990,12-01-2000,73.061,,,,,,,,,,,,,,,,,,,,,,
10-01-1990,01-01-2001,67.4365,,,,,,,,,,,,,,,,,,,,,,
11-01-1990,02-01-2001,68.5665,,,,,,,,,,,,,,,,,,,,,,
12-01-1990,03-01-2001,77.6839,,,,,,,,,,,,,,,,,,,,,,
01-01-1991,04-01-2001,86.0214,,,,,,,,,,,,,,,,,,,,,,
02-01-1991,05-01-2001,77.5573,,,,,,,,,,,,,,,,,,,,,,
03-01-1991,06-01-2001,73.365,,,,,,,,,,,,,,,,,,,,,,
04-01-1991,07-01-2001,67.15,,,,,,,,,,,,,,,,,,,,,,
05-01-1991,08-01-2001,68.8162,,,,,,,,,,,,,,,,,,,,,,
06-01-1991,09-01-2001,74.8448,,,,,,,,,,,,,,,,,,,,,,
07-01-1991,10-01-2001,80.0928,,,,,,,,,,,,,,,,,,,,,,
08-01-1991,11-01-2001,79.1606,,,,,,,,,,,,,,,,,,,,,,
09-01-1991,12-01-2001,73.5743,,,,,,,,,,,,,,,,,,,,,,
10-01-1991,01-01-2002,68.7538,,,,,,,,,,,,,,,,,,,,,,
11-01-1991,02-01-2002,72.5166,,,,,,,,,,,,,,,,,,,,,,
12-01-1991,03-01-2002,79.4894,,,,,,,,,,,,,,,,,,,,,,
01-01-1992,04-01-2002,85.2855,,,,,,,,,,,,,,,,,,,,,,
02-01-1992,05-01-2002,80.1643,,,,,,,,,,,,,,,,,,,,,,
03-01-1992,06-01-2002,74.5275,,,,,,,,,,,,,,,,,,,,,,
04-01-1992,07-01-2002,69.6441,,,,,,,,,,,,,,,,,,,,,,
05-01-1992,08-01-2002,67.1784,,,,,,,,,,,,,,,,,,,,,,
06-01-1992,09-01-2002,71.2078,,,,,,,,,,,,,,,,,,,,,,
07-01-1992,10-01-2002,77.5081,,,,,,,,,,,,,,,,,,,,,,
08-01-1992,11-01-2002,76.5374,,,,,,,,,,,,,,,,,,,,,,
09-01-1992,12-01-2002,72.3541,,,,,,,,,,,,,,,,,,,,,,
10-01-1992,01-01-2003,69.0286,,,,,,,,,,,,,,,,,,,,,,
11-01-1992,02-01-2003,73.4992,,,,,,,,,,,,,,,,,,,,,,
12-01-1992,03-01-2003,84.5159,,,,,,,,,,,,,,,,,,,,,,
01-01-1993,04-01-2003,87.9464,,,,,,,,,,,,,,,,,,,,,,
02-01-1993,05-01-2003,84.5561,,,,,,,,,,,,,,,,,,,,,,
03-01-1993,06-01-2003,79.4747,,,,,,,,,,,,,,,,,,,,,,
04-01-1993,07-01-2003,71.0578,,,,,,,,,,,,,,,,,,,,,,
05-01-1993,08-01-2003,67.6762,,,,,,,,,,,,,,,,,,,,,,
06-01-1993,09-01-2003,74.3297,,,,,,,,,,,,,,,,,,,,,,
07-01-1993,10-01-2003,82.1048,,,,,,,,,,,,,,,,,,,,,,
08-01-1993,11-01-2003,82.0605,,,,,,,,,,,,,,,,,,,,,,
09-01-1993,12-01-2003,74.6031,,,,,,,,,,,,,,,,,,,,,,
10-01-1993,01-01-2004,69.681,,,,,,,,,,,,,,,,,,,,,,
11-01-1993,02-01-2004,74.4292,,,,,,,,,,,,,,,,,,,,,,
12-01-1993,03-01-2004,84.2284,,,,,,,,,,,,,,,,,,,,,,
01-01-1994,04-01-2004,94.1386,,,,,,,,,,,,,,,,,,,,,,
02-01-1994,05-01-2004,87.1607,,,,,,,,,,,,,,,,,,,,,,
03-01-1994,06-01-2004,79.2456,,,,,,,,,,,,,,,,,,,,,,
04-01-1994,07-01-2004,70.9749,,,,,,,,,,,,,,,,,,,,,,
05-01-1994,08-01-2004,69.3844,,,,,,,,,,,,,,,,,,,,,,
06-01-1994,09-01-2004,77.9831,,,,,,,,,,,,,,,,,,,,,,
07-01-1994,10-01-2004,83.277,,,,,,,,,,,,,,,,,,,,,,
08-01-1994,11-01-2004,81.8872,,,,,,,,,,,,,,,,,,,,,,
09-01-1994,12-01-2004,75.6826,,,,,,,,,,,,,,,,,,,,,,
10-01-1994,01-01-2005,71.2661,,,,,,,,,,,,,,,,,,,,,,
11-01-1994,02-01-2005,75.2458,,,,,,,,,,,,,,,,,,,,,,
12-01-1994,03-01-2005,84.8147,,,,,,,,,,,,,,,,,,,,,,
01-01-1995,04-01-2005,92.4532,,,,,,,,,,,,,,,,,,,,,,
02-01-1995,05-01-2005,87.4033,,,,,,,,,,,,,,,,,,,,,,
03-01-1995,06-01-2005,81.2661,,,,,,,,,,,,,,,,,,,,,,
04-01-1995,07-01-2005,73.8167,,,,,,,,,,,,,,,,,,,,,,
05-01-1995,08-01-2005,73.2682,,,,,,,,,,,,,,,,,,,,,,
06-01-1995,09-01-2005,78.3026,,,,,,,,,,,,,,,,,,,,,,
07-01-1995,10-01-2005,85.9841,,,,,,,,,,,,,,,,,,,,,,
08-01-1995,11-01-2005,89.5467,,,,,,,,,,,,,,,,,,,,,,
09-01-1995,12-01-2005,78.5035,,,,,,,,,,,,,,,,,,,,,,
10-01-1995,01-01-2006,73.7066,,,,,,,,,,,,,,,,,,,,,,
11-01-1995,02-01-2006,79.6543,,,,,,,,,,,,,,,,,,,,,,
12-01-1995,03-01-2006,90.8251,,,,,,,,,,,,,,,,,,,,,,
01-01-1996,04-01-2006,98.9732,,,,,,,,,,,,,,,,,,,,,,
02-01-1996,05-01-2006,92.8883,,,,,,,,,,,,,,,,,,,,,,
03-01-1996,06-01-2006,86.9356,,,,,,,,,,,,,,,,,,,,,,
04-01-1996,07-01-2006,77.2214,,,,,,,,,,,,,,,,,,,,,,
05-01-1996,08-01-2006,76.6826,,,,,,,,,,,,,,,,,,,,,,
06-01-1996,09-01-2006,81.9306,,,,,,,,,,,,,,,,,,,,,,
07-01-1996,10-01-2006,85.9606,,,,,,,,,,,,,,,,,,,,,,
08-01-1996,11-01-2006,86.5562,,,,,,,,,,,,,,,,,,,,,,
09-01-1996,12-01-2006,79.1919,,,,,,,,,,,,,,,,,,,,,,
10-01-1996,01-01-2007,74.6891,,,,,,,,,,,,,,,,,,,,,,
11-01-1996,02-01-2007,81.074,,,,,,,,,,,,,,,,,,,,,,
12-01-1996,03-01-2007,90.4855,,,,,,,,,,,,,,,,,,,,,,
01-01-1997,04-01-2007,98.4613,,,,,,,,,,,,,,,,,,,,,,
02-01-1997,05-01-2007,89.7795,,,,,,,,,,,,,,,,,,,,,,
03-01-1997,06-01-2007,83.0125,,,,,,,,,,,,,,,,,,,,,,
04-01-1997,07-01-2007,76.1476,,,,,,,,,,,,,,,,,,,,,,
05-01-1997,08-01-2007,73.8471,,,,,,,,,,,,,,,,,,,,,,
06-01-1997,09-01-2007,79.7645,,,,,,,,,,,,,,,,,,,,,,
07-01-1997,10-01-2007,88.4519,,,,,,,,,,,,,,,,,,,,,,
08-01-1997,11-01-2007,87.7828,,,,,,,,,,,,,,,,,,,,,,
09-01-1997,12-01-2007,81.9386,,,,,,,,,,,,,,,,,,,,,,
10-01-1997,01-01-2008,77.5027,,,,,,,,,,,,,,,,,,,,,,
11-01-1997,02-01-2008,82.0448,,,,,,,,,,,,,,,,,,,,,,
12-01-1997,03-01-2008,92.101,,,,,,,,,,,,,,,,,,,,,,
01-01-1998,04-01-2008,94.792,,,,,,,,,,,,,,,,,,,,,,
02-01-1998,05-01-2008,87.82,,,,,,,,,,,,,,,,,,,,,,
03-01-1998,06-01-2008,86.5549,,,,,,,,,,,,,,,,,,,,,,
04-01-1998,07-01-2008,76.7521,,,,,,,,,,,,,,,,,,,,,,
05-01-1998,08-01-2008,78.0303,,,,,,,,,,,,,,,,,,,,,,
06-01-1998,09-01-2008,86.4579,,,,,,,,,,,,,,,,,,,,,,
07-01-1998,10-01-2008,93.8379,,,,,,,,,,,,,,,,,,,,,,
08-01-1998,11-01-2008,93.531,,,,,,,,,,,,,,,,,,,,,,
09-01-1998,12-01-2008,87.5414,,,,,,,,,,,,,,,,,,,,,,
10-01-1998,01-01-2009,80.0924,,,,,,,,,,,,,,,,,,,,,,
11-01-1998,02-01-2009,81.4349,,,,,,,,,,,,,,,,,,,,,,
12-01-1998,03-01-2009,91.6841,,,,,,,,,,,,,,,,,,,,,,
01-01-1999,04-01-2009,102.1348,,,,,,,,,,,,,,,,,,,,,,
02-01-1999,05-01-2009,91.1829,,,,,,,,,,,,,,,,,,,,,,
03-01-1999,06-01-2009,90.7381,,,,,,,,,,,,,,,,,,,,,,
04-01-1999,07-01-2009,80.5176,,,,,,,,,,,,,,,,,,,,,,
05-01-1999,08-01-2009,79.3887,,,,,,,,,,,,,,,,,,,,,,
06-01-1999,09-01-2009,87.8431,,,,,,,,,,,,,,,,,,,,,,
07-01-1999,10-01-2009,97.4903,,,,,,,,,,,,,,,,,,,,,,
08-01-1999,11-01-2009,96.4157,,,,,,,,,,,,,,,,,,,,,,
09-01-1999,12-01-2009,87.2248,,,,,,,,,,,,,,,,,,,,,,
10-01-1999,01-01-2010,80.6409,,,,,,,,,,,,,,,,,,,,,,
11-01-1999,02-01-2010,82.2025,,,,,,,,,,,,,,,,,,,,,,
12-01-1999,03-01-2010,94.5113,,,,,,,,,,,,,,,,,,,,,,
01-01-2000,04-01-2010,102.2301,,,,,,,,,,,,,,,,,,,,,,
02-01-2000,05-01-2010,94.2989,,,,,,,,,,,,,,,,,,,,,,
03-01-2000,06-01-2010,88.0927,,,,,,,,,,,,,,,,,,,,,,
04-01-2000,07-01-2010,81.4425,,,,,,,,,,,,,,,,,,,,,,
05-01-2000,08-01-2010,84.4552,,,,,,,,,,,,,,,,,,,,,,
06-01-2000,09-01-2010,91.0406,,,,,,,,,,,,,,,,,,,,,,
07-01-2000,10-01-2010,95.9957,,,,,,,,,,,,,,,,,,,,,,
08-01-2000,11-01-2010,99.3704,,,,,,,,,,,,,,,,,,,,,,
09-01-2000,12-01-2010,90.9178,,,,,,,,,,,,,,,,,,,,,,
10-01-2000,01-01-2011,83.1408,,,,,,,,,,,,,,,,,,,,,,
11-01-2000,02-01-2011,88.041,,,,,,,,,,,,,,,,,,,,,,
12-01-2000,03-01-2011,102.4558,,,,,,,,,,,,,,,,,,,,,,
01-01-2001,04-01-2011,109.1081,,,,,,,,,,,,,,,,,,,,,,
02-01-2001,05-01-2011,97.1717,,,,,,,,,,,,,,,,,,,,,,
03-01-2001,06-01-2011,92.8283,,,,,,,,,,,,,,,,,,,,,,
04-01-2001,07-01-2011,82.915,,,,,,,,,,,,,,,,,,,,,,
05-01-2001,08-01-2011,82.5465,,,,,,,,,,,,,,,,,,,,,,
06-01-2001,09-01-2011,90.3955,,,,,,,,,,,,,,,,,,,,,,
07-01-2001,10-01-2011,96.074,,,,,,,,,,,,,,,,,,,,,,
08-01-2001,11-01-2011,99.5534,,,,,,,,,,,,,,,,,,,,,,
09-01-2001,12-01-2011,88.281,,,,,,,,,,,,,,,,,,,,,,
10-01-2001,01-01-2012,82.686,,,,,,,,,,,,,,,,,,,,,,
11-01-2001,02-01-2012,82.9319,,,,,,,,,,,,,,,,,,,,,,
12-01-2001,03-01-2012,93.0381,,,,,,,,,,,,,,,,,,,,,,
01-01-2002,04-01-2012,102.9955,,,,,,,,,,,,,,,,,,,,,,
02-01-2002,05-01-2012,95.2075,,,,,,,,,,,,,,,,,,,,,,
03-01-2002,06-01-2012,93.2556,,,,,,,,,,,,,,,,,,,,,,
04-01-2002,07-01-2012,85.795,,,,,,,,,,,,,,,,,,,,,,
05-01-2002,08-01-2012,85.2351,,,,,,,,,,,,,,,,,,,,,,
06-01-2002,09-01-2012,93.1896,,,,,,,,,,,,,,,,,,,,,,
07-01-2002,10-01-2012,102.393,,,,,,,,,,,,,,,,,,,,,,
08-01-2002,11-01-2012,101.6293,,,,,,,,,,,,,,,,,,,,,,
09-01-2002,12-01-2012,93.3089,,,,,,,,,,,,,,,,,,,,,,
10-01-2002,01-01-2013,86.9002,,,,,,,,,,,,,,,,,,,,,,
11-01-2002,02-01-2013,88.5749,,,,,,,,,,,,,,,,,,,,,,
12-01-2002,03-01-2013,100.8003,,,,,,,,,,,,,,,,,,,,,,
01-01-2003,04-01-2013,110.1807,,,,,,,,,,,,,,,,,,,,,,
02-01-2003,05-01-2013,103.8413,,,,,,,,,,,,,,,,,,,,,,
03-01-2003,06-01-2013,94.5532,,,,,,,,,,,,,,,,,,,,,,
04-01-2003,07-01-2013,85.062,,,,,,,,,,,,,,,,,,,,,,
05-01-2003,08-01-2013,85.4653,,,,,,,,,,,,,,,,,,,,,,
06-01-2003,09-01-2013,91.0761,,,,,,,,,,,,,,,,,,,,,,
07-01-2003,10-01-2013,102.22,,,,,,,,,,,,,,,,,,,,,,
08-01-2003,11-01-2013,104.4682,,,,,,,,,,,,,,,,,,,,,,
09-01-2003,12-01-2013,92.9135,,,,,,,,,,,,,,,,,,,,,,
10-01-2003,01-01-2014,86.5047,,,,,,,,,,,,,,,,,,,,,,
11-01-2003,02-01-2014,88.5735,,,,,,,,,,,,,,,,,,,,,,
12-01-2003,03-01-2014,103.5428,,,,,,,,,,,,,,,,,,,,,,
01-01-2004,04-01-2014,113.7226,,,,,,,,,,,,,,,,,,,,,,
02-01-2004,05-01-2014,106.159,,,,,,,,,,,,,,,,,,,,,,
03-01-2004,06-01-2014,95.4029,,,,,,,,,,,,,,,,,,,,,,
04-01-2004,07-01-2014,86.7233,,,,,,,,,,,,,,,,,,,,,,
05-01-2004,08-01-2014,89.0302,,,,,,,,,,,,,,,,,,,,,,
06-01-2004,09-01-2014,95.5045,,,,,,,,,,,,,,,,,,,,,,
07-01-2004,10-01-2014,101.7948,,,,,,,,,,,,,,,,,,,,,,
08-01-2004,11-01-2014,100.2025,,,,,,,,,,,,,,,,,,,,,,
09-01-2004,12-01-2014,94.024,,,,,,,,,,,,,,,,,,,,,,
10-01-2004,01-01-2015,87.5262,,,,,,,,,,,,,,,,,,,,,,
11-01-2004,02-01-2015,89.6144,,,,,,,,,,,,,,,,,,,,,,
12-01-2004,03-01-2015,105.7263,,,,,,,,,,,,,,,,,,,,,,
01-01-2005,04-01-2015,111.1614,,,,,,,,,,,,,,,,,,,,,,
02-01-2005,05-01-2015,101.7795,,,,,,,,,,,,,,,,,,,,,,
03-01-2005,06-01-2015,98.9565,,,,,,,,,,,,,,,,,,,,,,
04-01-2005,07-01-2015,86.4776,,,,,,,,,,,,,,,,,,,,,,
05-01-2005,08-01-2015,87.2234,,,,,,,,,,,,,,,,,,,,,,
06-01-2005,09-01-2015,99.5076,,,,,,,,,,,,,,,,,,,,,,
07-01-2005,10-01-2015,108.3501,,,,,,,,,,,,,,,,,,,,,,
08-01-2005,11-01-2015,109.4862,,,,,,,,,,,,,,,,,,,,,,
09-01-2005,12-01-2015,99.1155,,,,,,,,,,,,,,,,,,,,,,
10-01-2005,01-01-2016,89.7567,,,,,,,,,,,,,,,,,,,,,,
11-01-2005,02-01-2016,90.4587,,,,,,,,,,,,,,,,,,,,,,
12-01-2005,03-01-2016,108.2257,,,,,,,,,,,,,,,,,,,,,,
01-01-2006,04-01-2016,104.4724,,,,,,,,,,,,,,,,,,,,,,
02-01-2006,05-01-2016,101.5196,,,,,,,,,,,,,,,,,,,,,,
03-01-2006,06-01-2016,98.4017,,,,,,,,,,,,,,,,,,,,,,
04-01-2006,07-01-2016,87.5093,,,,,,,,,,,,,,,,,,,,,,
05-01-2006,08-01-2016,90.0222,,,,,,,,,,,,,,,,,,,,,,
06-01-2006,09-01-2016,100.5244,,,,,,,,,,,,,,,,,,,,,,
07-01-2006,10-01-2016,110.9503,,,,,,,,,,,,,,,,,,,,,,
08-01-2006,11-01-2016,111.5192,,,,,,,,,,,,,,,,,,,,,,
09-01-2006,12-01-2016,95.7632,,,,,,,,,,,,,,,,,,,,,,
10-01-2006,01-01-2017,90.3738,,,,,,,,,,,,,,,,,,,,,,
11-01-2006,02-01-2017,92.3566,,,,,,,,,,,,,,,,,,,,,,
12-01-2006,03-01-2017,103.066,,,,,,,,,,,,,,,,,,,,,,
01-01-2007,04-01-2017,112.0576,,,,,,,,,,,,,,,,,,,,,,
02-01-2007,05-01-2017,111.8399,,,,,,,,,,,,,,,,,,,,,,
03-01-2007,06-01-2017,99.1925,,,,,,,,,,,,,,,,,,,,,,
04-01-2007,07-01-2017,90.8177,,,,,,,,,,,,,,,,,,,,,,
05-01-2007,08-01-2017,92.0587,,,,,,,,,,,,,,,,,,,,,,
06-01-2007,09-01-2017,100.9676,,,,,,,,,,,,,,,,,,,,,,
07-01-2007,10-01-2017,107.5686,,,,,,,,,,,,,,,,,,,,,,
08-01-2007,11-01-2017,114.1036,,,,,,,,,,,,,,,,,,,,,,
09-01-2007,12-01-2017,101.5316,,,,,,,,,,,,,,,,,,,,,,
10-01-2007,01-01-2018,93.0068,,,,,,,,,,,,,,,,,,,,,,
11-01-2007,93.9126,,,,,,,,,,,,,,,,,,,,,,,
12-01-2007,106.7528,,,,,,,,,,,,,,,,,,,,,,,
01-01-2008,114.8331,,,,,,,,,,,,,,,,,,,,,,,
02-01-2008,108.2353,,,,,,,,,,,,,,,,,,,,,,,
03-01-2008,100.4386,,,,,,,,,,,,,,,,,,,,,,,
04-01-2008,90.9944,,,,,,,,,,,,,,,,,,,,,,,
05-01-2008,91.2348,,,,,,,,,,,,,,,,,,,,,,,
06-01-2008,103.9581,,,,,,,,,,,,,,,,,,,,,,,
07-01-2008,110.7631,,,,,,,,,,,,,,,,,,,,,,,
08-01-2008,107.5665,,,,,,,,,,,,,,,,,,,,,,,
09-01-2008,97.7183,,,,,,,,,,,,,,,,,,,,,,,
10-01-2008,90.9979,,,,,,,,,,,,,,,,,,,,,,,
11-01-2008,93.8057,,,,,,,,,,,,,,,,,,,,,,,
12-01-2008,109.4221,,,,,,,,,,,,,,,,,,,,,,,
01-01-2009,116.8316,,,,,,,,,,,,,,,,,,,,,,,
02-01-2009,104.4202,,,,,,,,,,,,,,,,,,,,,,,
03-01-2009,97.8529,,,,,,,,,,,,,,,,,,,,,,,
04-01-2009,88.1973,,,,,,,,,,,,,,,,,,,,,,,
05-01-2009,87.5366,,,,,,,,,,,,,,,,,,,,,,,
06-01-2009,97.2387,,,,,,,,,,,,,,,,,,,,,,,
07-01-2009,103.9086,,,,,,,,,,,,,,,,,,,,,,,
08-01-2009,105.7486,,,,,,,,,,,,,,,,,,,,,,,
09-01-2009,94.8823,,,,,,,,,,,,,,,,,,,,,,,
10-01-2009,89.2977,,,,,,,,,,,,,,,,,,,,,,,
11-01-2009,89.3585,,,,,,,,,,,,,,,,,,,,,,,
12-01-2009,110.6844,,,,,,,,,,,,,,,,,,,,,,,
01-01-2010,119.0166,,,,,,,,,,,,,,,,,,,,,,,
02-01-2010,110.533,,,,,,,,,,,,,,,,,,,,,,,
03-01-2010,98.2672,,,,,,,,,,,,,,,,,,,,,,,
04-01-2010,86.3,,,,,,,,,,,,,,,,,,,,,,,
05-01-2010,90.8364,,,,,,,,,,,,,,,,,,,,,,,
06-01-2010,104.3538,,,,,,,,,,,,,,,,,,,,,,,
07-01-2010,112.8066,,,,,,,,,,,,,,,,,,,,,,,
08-01-2010,112.9014,,,,,,,,,,,,,,,,,,,,,,,
09-01-2010,100.1209,,,,,,,,,,,,,,,,,,,,,,,
10-01-2010,88.9251,,,,,,,,,,,,,,,,,,,,,,,
11-01-2010,92.775,,,,,,,,,,,,,,,,,,,,,,,
12-01-2010,114.3266,,,,,,,,,,,,,,,,,,,,,,,
01-01-2011,119.488,,,,,,,,,,,,,,,,,,,,,,,
02-01-2011,107.3753,,,,,,,,,,,,,,,,,,,,,,,
03-01-2011,99.1028,,,,,,,,,,,,,,,,,,,,,,,
04-01-2011,89.3583,,,,,,,,,,,,,,,,,,,,,,,
05-01-2011,90.0698,,,,,,,,,,,,,,,,,,,,,,,
06-01-2011,102.8204,,,,,,,,,,,,,,,,,,,,,,,
07-01-2011,114.7068,,,,,,,,,,,,,,,,,,,,,,,
08-01-2011,113.5958,,,,,,,,,,,,,,,,,,,,,,,
09-01-2011,99.4712,,,,,,,,,,,,,,,,,,,,,,,
10-01-2011,90.3566,,,,,,,,,,,,,,,,,,,,,,,
11-01-2011,93.8095,,,,,,,,,,,,,,,,,,,,,,,
12-01-2011,107.3312,,,,,,,,,,,,,,,,,,,,,,,
01-01-2012,111.9646,,,,,,,,,,,,,,,,,,,,,,,
02-01-2012,103.3679,,,,,,,,,,,,,,,,,,,,,,,
03-01-2012,93.5772,,,,,,,,,,,,,,,,,,,,,,,
04-01-2012,87.5566,,,,,,,,,,,,,,,,,,,,,,,
05-01-2012,92.7603,,,,,,,,,,,,,,,,,,,,,,,
06-01-2012,101.14,,,,,,,,,,,,,,,,,,,,,,,
07-01-2012,113.0357,,,,,,,,,,,,,,,,,,,,,,,
08-01-2012,109.8601,,,,,,,,,,,,,,,,,,,,,,,
